reference	book	chapter	count	min_confidence	surfaces	pages	confirmed
Apg 10	Apostelgeschichte	10	8	0.857	"Actuum am 10. (3) | Actuum am
x. (1) | Actorum.vv.capit. (1) | Act.10. (1) | Acta.
X (1) | Act. 10. (1)"	a_v_1447_schlussredaktion:332; druck_1528:48; druck_1608_bern:239; druck_1608_zuerich:241,748; druck_1701:181,212,586	
Dan 12	Daniel	12	8	0.857	Danielis am 12. (7) | nielis am xii. (1)	a_v_1447_schlussredaktion:601; druck_1608_bern:443,447; druck_1608_zuerich:445,449; druck_1701:396,397,401	
Ez 37	Ezechiel	37	8	0.889	Ezech. 37. (3) | Ezechielis am 37. Cap (2) | Ezechielig 37 (1) | Ezechi. 37. (1) | Ezechielis am 37. Capitel. (1)	a_v_1443_hertwig:11; a_v_1444_cyro:12; druck_1608_bern:39,47; druck_1608_zuerich:41,49; druck_1701:26,34	
Num 20	Numeri	20	8	1.0	"Num. 20. (3) | Numeri xx. (2) | Numeri 20. (2) | Num.
20. (1)"	druck_1528:455; druck_1528_04:522; druck_1608_bern:37,524; druck_1608_zuerich:39,526; druck_1701:25,469	
Phil 3	Philipper	3	8	0.88	"Philippern am
3. (2) | zun Philip.3.cap. (2) | Philippenses. iii. (1) | Philippern am 3. (1) | zun Philippensern am
3. (1) | Philip. 3. (1)"	a_v_1447_schlussredaktion:329; druck_1608_bern:200,236; druck_1608_zuerich:202,238; druck_1701:176,382,601	
Ps 50	Psalmen	50	8	1.0	Psalmo. 50. (2) | Psalmo. l. (1) | Pſalmo. l. (1) | Pſalmo.l. (1) | Pſal 50. (1) | Pſalm 50. (1)	a_v_1447_schlussredaktion:572; druck_1528:360; druck_1528_04:416; druck_1608_bern:414; druck_1608_zuerich:416,692; druck_1701:371,531	
1 Kor 3	1 Korinther	3	7	0.875	zun Corinth. 3. cap. (2) | Corinth. am 3. (2) | Corinth. 3. (2) | Corinther am 3. Capit. (1)	druck_1608_bern:75,250,551; druck_1608_zuerich:77,252,553; druck_1701:455	
1 Thess 2	1 Thessalonicher	2	7	0.875	"Theſſal. 2. (3) | Theſſal. 2.
Cap. (1) | Theſſal.
2. (1) | zun Theſſalon. am 2. cap (1) | Theſſal. 2. Cap. (1)"	druck_1608_bern:204; druck_1608_zuerich:206,680,720,755; druck_1701:180,518	
Apg 20	Apostelgeschichte	20	7	0.857	"Act.am 20.capit. (2) | Actorum am xx.
capitel (1) | Actorum am xx capitel (1) | Actorum. 20. (1) | Act.
am 20. Cap. (1) | Actorum am 20. Cap. (1)"	druck_1528_04:134,450; druck_1608_bern:133; druck_1608_zuerich:135,608; druck_1701:113,403	
Gal 1	Galater	1	7	0.933	zun Galat.am 1. (2) | zun Galatern 1. (2) | Galathas. i. (1) | zun Galat. am I. (1) | zun Galatern am I. (1)	a_v_1447_schlussredaktion:612; druck_1608_bern:193,454; druck_1608_zuerich:195,456; druck_1701:169,407	
Gal 6	Galater	6	7	0.875	"zun Galatern am
6. (2) | galats
6 (1) | zun Galathern am 6. Capit. (1) | zun Galatheru am 6. Capit. (1) | zun Galatern am
6. Cap. (1) | zun Galat.
am 6. Cap. (1)"	a_v_1447_schlussredaktion:403; druck_1608_bern:144,309; druck_1608_zuerich:146,311; druck_1701:123,276	
Gen 28	Genesis	28	7	1.0	Geneſis am 28. (5) | Genesis. xxviii. (1) | Genesis am 28. (1)	a_v_1447_schlussredaktion:656; druck_1608_bern:491,493; druck_1608_zuerich:493,495; druck_1701:439,441	
Jes 7	Jesaja	7	7	1.0	"Esaie am vii cap (1) | Eſaie am 7. capit. (1) | Eſaie
am 7. cap. (1) | Esaie am 7. capit. (1) | Eſaie
am 7.cap. (1) | Eſaje am 7. Cap. (1)"	a_v_1447_schlussredaktion:362; druck_1608_bern:199,262; druck_1608_zuerich:201,264; druck_1701:175,232	
Mt 28	Matthäus	28	7	0.889	Matthei am 28. Cap. (2) | Matt. 28. (2) | Matth. 28. (1) | Math. 28. (1) | Matth. am 28. Cap. (1)	druck_1608_bern:292; druck_1608_zuerich:294,688,772; druck_1701:260,526,611	
Phil 2	Philipper	2	7	0.88	"zun Philip. am 2.
cap. (1) | zun Philippensern am 2. Cap. (1) | zun Philip.am 2.
cap. (1) | zun Philippenſern am 2. Cap. (1) | Philip. 2. (1) | zun
Philip. am 2. Cap. (1)"	druck_1608_bern:172,310; druck_1608_zuerich:174,312,714; druck_1701:150,277	
Spr 5	Sprüche	5	7	1.0	"Spruch
am v. (1) | ſpruch v (1) | spruch am v. (1) | ſpruch
v. capitel (1) | Spruch am 5.cap. (1) | Spruch am 5. cap. (1)"	a_v_1447_schlussredaktion:310; druck_1528:74,189; druck_1528_04:222; druck_1608_bern:221; druck_1608_zuerich:223; druck_1701:195	
1 Petr 3	1 Petrus	3	6	1.0	Petri 3. (2) | Petri 3. Cap. (2) | Petri am 3. (2)	druck_1608_bern:289,502; druck_1608_zuerich:291,504; druck_1701:257,449	
